Company,Rating,Reviews_Count,Industry,Location_Info,Experience,Salary_Range,Salary_Min_LPA,Salary_Max_LPA,Highly_Rated_For,Critically_Rated_For
Palo Alto Networks,3.7,145,IT Services & Consulting,Hyderabad +12 other locations,0 - 4 yrs exp.,₹ 31.2 L/yr - ₹ 43.5 L/yr,31.2,43.5,Salary,"Job Security, Promotions, Work Satisfaction"
Google,4.4,2k,Software Product,Hyderabad +93 other locations,0 - 7 yrs exp.,₹ 35.1 L/yr - ₹ 38.7 L/yr,35.1,38.7,"Company Culture, Work Life Balance, Work Satisfaction",
SPRINKLR,2.9,404,Software Product,Hyderabad +8 other locations,0 - 3 yrs exp.,₹ 31.3 L/yr - ₹ 37.1 L/yr,31.3,37.1,,"Work Satisfaction, Job Security, Promotions"
WinZO,4.2,54,IT Services & Consulting,Hyderabad +2 other locations,0 - 5 yrs exp.,₹ 30.2 L/yr - ₹ 37.3 L/yr,30.2,37.3,"Salary, Work Satisfaction, Promotions",
Eightfold AI,3.3,37,Internet,Hyderabad +2 other locations,0 - 4 yrs exp.,₹ 30.1 L/yr - ₹ 37.1 L/yr,30.1,37.1,,"Work Life Balance, Company Culture, Work Satisfaction"
Microsoft Corporation,3.8,2.2k,Software Product,Hyderabad +53 other locations,0 - 7 yrs exp.,₹ 28.9 L/yr - ₹ 32.1 L/yr,28.9,32.1,"Work Life Balance, Company Culture","Job Security, Promotions"
Navi Limited,3.1,402,FinTech,Hyderabad +18 other locations,0 - 4 yrs exp.,₹ 24.5 L/yr - ₹ 36.4 L/yr,24.5,36.4,,"Job Security, Promotions, Work Life Balance"
Google Operations Center,3.5,794,BPO,Hyderabad +14 other locations,0 - 3 yrs exp.,₹ 24.3 L/yr - ₹ 36 L/yr,24.3,36,,"Promotions, Work Satisfaction, Skill Development"
Airbnb,3.6,317,Travel & Tourism,Hyderabad +14 other locations,0 - 5 yrs exp.,₹ 25 L/yr - ₹ 35.1 L/yr,25,35.1,Salary,"Promotions, Job Security, Skill Development"
CommVault,3.8,150,Software Product,Hyderabad +7 other locations,0 - 4 yrs exp.,₹ 23 L/yr - ₹ 33.2 L/yr,23,33.2,"Company Culture, Work Life Balance, Salary","Promotions, Job Security, Work Satisfaction"
Dream11,4.2,148,Internet,Hyderabad +7 other locations,0 - 4 yrs exp.,₹ 22.8 L/yr - ₹ 31.7 L/yr,22.8,31.7,"Salary, Company Culture, Work Life Balance",
Nvidia,3.4,763,Hardware & Networking,Hyderabad +20 other locations,0 - 7 yrs exp.,₹ 22.4 L/yr - ₹ 31.8 L/yr,22.4,31.8,,"Promotions, Work Satisfaction, Job Security"
Swiggy,3.7,6k,Internet,Hyderabad +248 other locations,0 - 4 yrs exp.,₹ 21 L/yr - ₹ 30 L/yr,21,30,,"Job Security, Promotions, Work Life Balance"
Goldman Sachs,3.3,1.7k,Financial Services,Hyderabad +23 other locations,0 - 5 yrs exp.,₹ 22 L/yr - ₹ 28.4 L/yr,22,28.4,,"Work Life Balance, Job Security, Promotions"
Ola Electric Mobility,3.3,3.3k,Automobile,Hyderabad +455 other locations,0 - 4 yrs exp.,₹ 19.4 L/yr - ₹ 29.1 L/yr,19.4,29.1,Salary,"Job Security, Promotions, Company Culture"
Microsoft Research,4.4,104,,Hyderabad +9 other locations,0 - 5 yrs exp.,₹ 19.4 L/yr - ₹ 28.4 L/yr,19.4,28.4,"Company Culture, Work Life Balance, Work Satisfaction",
Cult.fit,3.4,1k,Fitness & Wellness,Hyderabad +44 other locations,0 - 4 yrs exp.,₹ 20.6 L/yr - ₹ 27.2 L/yr,20.6,27.2,,"Promotions, Job Security, Work Life Balance"
BNY,3.6,5.5k,Financial Services,Hyderabad +29 other locations,0 - 4 yrs exp.,₹ 21.6 L/yr - ₹ 25.2 L/yr,21.6,25.2,,"Promotions, Job Security, Work Satisfaction"
Qualcomm,3.7,1.3k,Semiconductors,Hyderabad +21 other locations,0 - 5 yrs exp.,₹ 21.4 L/yr - ₹ 24.2 L/yr,21.4,24.2,Salary,"Promotions, Work Life Balance, Work Satisfaction"
Flipkart,3.9,13.7k,Internet,Hyderabad +577 other locations,0 - 5 yrs exp.,₹ 19.2 L/yr - ₹ 25.7 L/yr,19.2,25.7,"Company Culture, Skill Development, Salary",Promotions
Visa,3.3,523,FinTech,Hyderabad +18 other locations,0 - 4 yrs exp.,₹ 20.7 L/yr - ₹ 23.6 L/yr,20.7,23.6,,"Promotions, Job Security, Work Satisfaction"
Blinkit,3.8,4.1k,Internet,Hyderabad +187 other locations,0 - 3 yrs exp.,₹ 17.5 L/yr - ₹ 26 L/yr,17.5,26,"Skill Development, Salary",Promotions
Jaguar Land Rover,3.9,330,Automobile,Hyderabad +34 other locations,0 - 4 yrs exp.,₹ 18.7 L/yr - ₹ 24.5 L/yr,18.7,24.5,"Work Life Balance, Company Culture, Work Satisfaction",Promotions
Grab Greco,4.0,100,Internet,Hyderabad +34 other locations,0 - 4 yrs exp.,₹ 19.3 L/yr - ₹ 23.3 L/yr,19.3,23.3,"Company Culture, Work Life Balance, Skill Development","Promotions, Job Security"
