Company,Rating,Reviews_Count,Industry,Location_Info,Experience,Salary_Range,Salary_Min_LPA,Salary_Max_LPA,Highly_Rated_For,Critically_Rated_For
Microsoft Research,4.4,104,,Hyderabad +9 other locations,0 - 6 yrs exp.,₹ 32.1 L/yr - ₹ 43.4 L/yr,32.1,43.4,"Company Culture, Work Life Balance, Work Satisfaction",
DE Shaw,3.6,207,Financial Services,Hyderabad +6 other locations,0 - 3 yrs exp.,₹ 29.6 L/yr - ₹ 44 L/yr,29.6,44,Salary,"Work Satisfaction, Skill Development, Promotions"
Stripe,2.9,63,FinTech,Hyderabad +3 other locations,0 - 3 yrs exp.,₹ 29 L/yr - ₹ 42 L/yr,29,42,Salary,"Promotions, Work Satisfaction, Job Security"
Atlassian,3.0,180,Software Product,Hyderabad +6 other locations,0 - 7 yrs exp.,₹ 28.1 L/yr - ₹ 39.6 L/yr,28.1,39.6,Salary,"Job Security, Promotions, Skill Development"
Navi Limited,3.1,402,FinTech,Hyderabad +18 other locations,0 - 3 yrs exp.,₹ 24.9 L/yr - ₹ 35.8 L/yr,24.9,35.8,,"Job Security, Promotions, Work Life Balance"
SPRINKLR,2.9,404,Software Product,Hyderabad +8 other locations,0 - 3 yrs exp.,₹ 25.3 L/yr - ₹ 35.3 L/yr,25.3,35.3,,"Work Satisfaction, Job Security, Promotions"
Microsoft Corporation,3.8,2.2k,Software Product,Hyderabad +53 other locations,0 - 8 yrs exp.,₹ 27 L/yr - ₹ 31.6 L/yr,27,31.6,"Work Life Balance, Company Culture","Job Security, Promotions"
Flipkart,3.9,13.7k,Internet,Hyderabad +577 other locations,0 - 5 yrs exp.,₹ 23.9 L/yr - ₹ 30.5 L/yr,23.9,30.5,"Company Culture, Skill Development, Salary",Promotions
Arcesium,3.3,398,IT Services & Consulting,Hyderabad +8 other locations,0 - 4 yrs exp.,₹ 21.9 L/yr - ₹ 31.4 L/yr,21.9,31.4,,"Work Life Balance, Work Satisfaction, Promotions"
MathWorks,4.0,166,Software Product,Hyderabad +5 other locations,0 - 4 yrs exp.,₹ 20.9 L/yr - ₹ 30.8 L/yr,20.9,30.8,"Work Life Balance, Company Culture, Job Security",Promotions
CRED,3.5,188,FinTech,Hyderabad +15 other locations,0 - 3 yrs exp.,₹ 22.5 L/yr - ₹ 29 L/yr,22.5,29,,"Promotions, Job Security, Work Life Balance"
Meesho,3.7,2.3k,Internet,Hyderabad +142 other locations,0 - 5 yrs exp.,₹ 20.1 L/yr - ₹ 27.5 L/yr,20.1,27.5,Salary,"Job Security, Promotions"
PhonePe,3.9,4.1k,FinTech,Hyderabad +427 other locations,0 - 5 yrs exp.,₹ 18.4 L/yr - ₹ 26.9 L/yr,18.4,26.9,"Salary, Company Culture, Work Life Balance",
Myntra,3.8,2.4k,Internet,Hyderabad +105 other locations,0 - 5 yrs exp.,₹ 19 L/yr - ₹ 25.6 L/yr,19,25.6,Company Culture,Promotions
Amazon,3.9,33.2k,Internet,Hyderabad +553 other locations,0 - 5 yrs exp.,₹ 20.2 L/yr - ₹ 23.3 L/yr,20.2,23.3,"Company Culture, Work Life Balance, Salary",Promotions
Ola Electric Mobility,3.3,3.3k,Automobile,Hyderabad +455 other locations,0 - 3 yrs exp.,₹ 18 L/yr - ₹ 24.9 L/yr,18,24.9,Salary,"Job Security, Promotions, Company Culture"
Dream11,4.2,148,Internet,Hyderabad +7 other locations,0 - 3 yrs exp.,₹ 17.5 L/yr - ₹ 25.2 L/yr,17.5,25.2,"Salary, Company Culture, Work Life Balance",
Media.net Software Services (India),3.1,263,Marketing & Advertising,Hyderabad +9 other locations,0 - 4 yrs exp.,₹ 17.2 L/yr - ₹ 24.2 L/yr,17.2,24.2,,"Promotions, Skill Development, Job Security"
Blinkit,3.8,4.1k,Internet,Hyderabad +187 other locations,0 - 3 yrs exp.,₹ 17.5 L/yr - ₹ 23.8 L/yr,17.5,23.8,"Skill Development, Salary",Promotions
BNY,3.6,5.5k,Financial Services,Hyderabad +29 other locations,0 - 4 yrs exp.,₹ 19.3 L/yr - ₹ 21.5 L/yr,19.3,21.5,,"Promotions, Job Security, Work Satisfaction"
Money View,4.1,324,FinTech,Hyderabad +26 other locations,0 - 4 yrs exp.,₹ 16.3 L/yr - ₹ 24.4 L/yr,16.3,24.4,"Company Culture, Work Life Balance, Work Satisfaction",Promotions
Ixigo.com,3.7,110,Travel & Tourism,Hyderabad +7 other locations,0 - 2 yrs exp.,₹ 18.7 L/yr - ₹ 20.7 L/yr,18.7,20.7,,"Promotions, Work Life Balance, Work Satisfaction"
Amazon Web Services,3.8,1k,IT Services & Consulting,Hyderabad +66 other locations,0 - 5 yrs exp.,₹ 16.1 L/yr - ₹ 24 L/yr,16.1,24,Salary,"Job Security, Promotions"
