Company,Rating,Reviews_Count,Industry,Location_Info,Experience,Salary_Range,Salary_Min_LPA,Salary_Max_LPA,Highly_Rated_For,Critically_Rated_For
Salesforce,3.9,1.2k,Software Product,Hyderabad +46 other locations,0 - 6 yrs exp.,₹ 24.6 L/yr - ₹ 34.3 L/yr,24.6,34.3,"Salary, Company Culture, Work Life Balance","Promotions, Job Security"
Blinkit,3.8,4.1k,Internet,Hyderabad +187 other locations,0 - 3 yrs exp.,₹ 22.2 L/yr - ₹ 31.4 L/yr,22.2,31.4,"Skill Development, Salary",Promotions
Eternal Limited,3.5,3.1k,Internet,Hyderabad +225 other locations,0 - 4 yrs exp.,₹ 22.4 L/yr - ₹ 31 L/yr,22.4,31,,"Job Security, Promotions, Work Life Balance"
Meesho,3.7,2.3k,Internet,Hyderabad +142 other locations,0 - 3 yrs exp.,₹ 21.6 L/yr - ₹ 31.5 L/yr,21.6,31.5,Salary,"Job Security, Promotions"
Dream11,4.2,148,Internet,Hyderabad +7 other locations,0 - 6 yrs exp.,₹ 20.8 L/yr - ₹ 29.8 L/yr,20.8,29.8,"Salary, Company Culture, Work Life Balance",
JioHotstar,3.4,183,Internet,Hyderabad +12 other locations,0 - 4 yrs exp.,₹ 22.4 L/yr - ₹ 27.5 L/yr,22.4,27.5,,"Promotions, Company Culture, Job Security"
Qualcomm,3.7,1.3k,Semiconductors,Hyderabad +21 other locations,0 - 5 yrs exp.,₹ 19.4 L/yr - ₹ 28.5 L/yr,19.4,28.5,Salary,"Promotions, Work Life Balance, Work Satisfaction"
Piramal Finance,4.2,6.4k,NBFC,Hyderabad +444 other locations,0 - 4 yrs exp.,₹ 22.2 L/yr - ₹ 24.5 L/yr,22.2,24.5,"Company Culture, Work Life Balance, Skill Development",
Amazon,3.9,33.2k,Internet,Hyderabad +553 other locations,0 - 5 yrs exp.,₹ 21.1 L/yr - ₹ 24 L/yr,21.1,24,"Company Culture, Work Life Balance, Salary",Promotions
Flipkart,3.9,13.7k,Internet,Hyderabad +577 other locations,0 - 4 yrs exp.,₹ 17.1 L/yr - ₹ 25 L/yr,17.1,25,"Company Culture, Skill Development, Salary",Promotions
BNY,3.6,5.5k,Financial Services,Hyderabad +29 other locations,0 - 3 yrs exp.,₹ 17 L/yr - ₹ 21.4 L/yr,17,21.4,,"Promotions, Job Security, Work Satisfaction"
Citicorp,3.6,5.8k,Financial Services,Hyderabad +74 other locations,0 - 5 yrs exp.,₹ 15.4 L/yr - ₹ 21.5 L/yr,15.4,21.5,Salary,"Promotions, Work Satisfaction, Skill Development"
Bank of America,4.1,4.1k,Banking,Hyderabad +43 other locations,0 - 7 yrs exp.,₹ 17 L/yr - ₹ 18.8 L/yr,17,18.8,"Job Security, Work Life Balance, Company Culture",Promotions
Porter,3.5,900,Internet,Hyderabad +32 other locations,0 - 3 yrs exp.,₹ 16.6 L/yr - ₹ 19.1 L/yr,16.6,19.1,,"Promotions, Job Security, Skill Development"
